id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,gambar
68,Periplus,Retail,Boarding Lounge Terminal 2,4.3,14,sedang,periplus2.webp
69,Batik Keris,Retail,Boarding Lounge Terminal 1,4.8,5,mahal,batik.webp
70,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya5.webp
71,circle K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,circlek3.webp
72,Alfa Express,Retail,Boarding Lounge Terminal 1,3.8,40,murah,alfaex4.webp
73,Circle K,Retail,Non Terminal 1,3.7,14,murah,circlek4.webp
74,Bonbon Voyage,Retail,Central Lobby Terminal 2,4.8,8,sedang,bonbon.webp
75,Oldtown White Coffee,Food & Beverage,Central Lobby Terminal 2,3.7,9,sedang,oldtown.webp
76,Bakmi Gocit,Food & Beverage,Central Lobby Terminal 2,3.9,149,sedang,bakmi-gocit3.webp
77,Bebek Pak Qomar & Rawon,Food & Beverage,Central Lobby Terminal 2,4.2,10,sedang,rawon.webp
78,Duty Free,Retail,Boarding Lounge Terminal 2,3.5,6,sedang,duty.webp
79,Bonbon Voyage,Retail,Boarding Lounge Terminal 2,4.8,8,sedang,bonbon2.webp
80,Polo,Retail,Boarding Lounge Terminal 2,3.1,9,sedang,polo5.webp
81,Oldtown White Coffee,Food & Beverage,Boarding Lounge Terminal 2,3.7,9,sedang,oldtown2.webp
82,IASH Lounge,Lounge,Boarding Lounge Terminal 2,4.8,157,mahal,iash.webp
83,Singosari Lounge,Lounge,Boarding Lounge Terminal 1,4.1,645,mahal,singosari.webp
84,Graha Amukti Praja Juanda,Lounge,Departure Lobby Terminal 1,4.8,157,mahal,graha.webp
85,Kantin International Juanda,Food & Beverage,Departure Lobby Terminal 1,4.5,30,sedang,kantin.webp
86,Trowulan,Lounge,Departure Lobby Terminal 1,4.4,135,mahal,trowulan.webp
87,Donut King Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,sedang,donutking2.webp
88,Hisana Fried Chicken,Food & Beverage,Central Lobby Terminal 2,4.3,3,sedang,hisana.webp
89,Roti O,Food & Beverage,Boarding Lounge Terminal 2,2.9,43,murah,roti-o7.webp
90,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 2,3.6,17,sedang,soerabaja-cafe2.webp
91,Warung MJ,Food & Beverage,Non Terminal 2,4.1,210,sedang,warungmj.webp
92,ANGKRINGAN T2 KOPIKU,Food & Beverage,Non Terminal 2,3.8,4,sedang,angkringan.webp
93,Depot Cak Mat,Food & Beverage,Non Terminal 2,4.1,196,sedang,cakmat.webp
94,Singgalang,Food & Beverage,Boarding Lounge Terminal 1,4.4,9,sedang,singgalang.webp
95,Uncle Wang Singapore Chicken Rice,Food & Beverage,Arrival Lobby Terminal 1,4.2,5,mahal,unclewang.webp
96,Ho Yoe,Food & Beverage,Boarding Lounge Terminal 1,4.2,6,sedang,hoyoe.webp
97,Bank Mandiri,Services,Baggage Claim B Terminal 1,4.2,53,non_applicable,mandiri.webp
98,Bank Jatim,Services,Baggage Claim B Terminal 1,4.7,21,non_applicable,jatim.webp
99,Bank BNI,Services,Baggage Claim B Terminal 1,4.1,17,non_applicable,bni.webp
100,Bank Mandiri,Services,Baggage Claim A Terminal 1,4.8,120,non_applicable,mandiri2.webp
101,Bank BRI,Services,Non Terminal 2,4.0,1,non_applicable,bri.webp
102,Damri Bandara Juanda,Services,Arrival Lobby Terminal 1,2.7,79,non_applicable,damri.webp
103,Lion Air Flops,Services,Arrival Lobby Terminal 1,3.6,133,non_applicable,lion-air.webp
104,Surabaya Patata Bandara Juanda,Services,Arrival Lobby Terminal 2,4.6,225,non_applicable,patata.webp
105,Transportasi Travel,Services,Arrival Lobby Terminal 1,4.1,14,non_applicable,travel.webp
106,Kantin Juanda t1,Food & Beverage,Non Terminal 1,4.2,939,sedang,kantin2.webp
107,Kantin Juanda T2,Food & Beverage,Non Terminal 2,3.9,15,sedang,kantin3.webp
108,Baso A Fung Juanda T1,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,mahal,afung2.webp
109,KCP Bank Mandiri,Services,Arrival Lobby Terminal 1,4.8,120,non_applicable,mandiri3.webp
110,Bank BCA,Services,Boarding Lounge Terminal 1,4.7,10,non_applicable,bca.webp
111,KCP Bank Mandiri,Services,Central Lobby Terminal 1,4.7,12,non_applicable,mandiri4.webp
112,Bank CIMB Niaga,Services,Central Lobby Terminal 1,4.3,3,non_applicable,cimb.webp
113,Bank BSI,Services,Boarding Lounge Terminal 1,5.0,4,non_applicable,bsi.webp
114,INDOCEV,Services,Central Lobby Terminal 2,2.2,10,non_applicable,indocev.webp
115,Aroma Padang Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.7,19,sedang,aroma.webp
116,Gift Shop,Retail,Boarding Lounge Terminal 1,4.5,4,sedang,gift-shop.webp
117,Starbucks,Food & Beverage,Departure Lobby Terminal 1,4.0,250,sedang,Starbucks2.webp
