id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,gambar
29,Expat,Food & Beverage,Departure Lobby Terminal 1,4.7,65,sedang,expat.png
30,A&W,Food & Beverage,Arrival Lobby A Terminal 1,5.0,1,sedang,a&w3.png
31,Warkop Sedati,Food & Beverage,Boarding Lounge Terminal 2,4.0,212,sedang,warkop-sedati.png
32,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,bakso-pakdjo.png
33,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o4.png
34,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,bangi-cafe.png
35,Starbucks,Food & Beverage,Boarding Lounge Terminal 1,4.5,179,sedang,starbucks.png
36,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,bakmi-gocit.png
37,A&W,Food & Beverage,Boarding Lounge Terminal 1,4.2,2820,sedang,a&w4.png
38,Subway,Food & Beverage,Boarding Lounge Terminal 1,4.4,68,sedang,subway.png
39,Donatking,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,murah,donutking.png
40,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,bakso-pakdjo2.png
41,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o5.png
42,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,110,sedang,soerabaja-cafe2.png
43,LA Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,219,sedang,la-cafe2.png
44,Bebek Goreng Harissa,Food & Beverage,Boarding Lounge Terminal 1,4.0,85,sedang,harissa.png
45,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o6.png
46,A Fung,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,sedang,afung.png
47,Gloria Jeans Coffee,Food & Beverage,Boarding Lounge Terminal 1,4.0,203,sedang,gloria.png
48,Kulineri,Food & Beverage,Boarding Lounge Terminal 1,4.2,11,sedang,kulineri.png
49,Restaurant Bangkalan,Food & Beverage,Boarding Lounge Terminal 1,3.5,210,mahal,restaurant2.png
50,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,bakmi-gocit2.png
51,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,bangi-cafe2.png
52,Majapahit Lounge,Lounge,Boarding Lounge Terminal 1,4.8,93,mahal,majapahit.png
53,Concordia Lounge,Lounge,Boarding Lounge Terminal 1,3.7,232,mahal,concordia.png
54,Alfa Express,Retail,Central Lobby Terminal 1,3.8,40,murah,alfaex.png
55,Circle-K,Retail,Lobby Arrival B Terminal 1,3.7,14,murah,circlek.png
56,Family Mart,Retail,Lobby Arrival B Terminal 1,4.4,17,murah,famima.png
57,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,bogajaya.png
58,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,bogajaya2.png
59,Alfa Express,Retail,Departure Lobby Terminal 1,4.5,4,murah,alfaex2.png
60,Sandang Pangan,Retail,Departure Lobby Terminal 1,5.0,1,sedang,sandangpangan.png
61,Alfa Express,Retail,Lobby Arrival A Terminal 1,4.5,4,murah,alfaex3.png
62,Circle-K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,circlek2.png
63,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya3.png
64,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,polo3.png
65,Beauty Center,Retail,Boarding Lounge Terminal 1,5.0,1,sedang,beauty.png
66,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,polo4.png
67,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya4.png
68,Periplus,Retail,Boarding Lounge Terminal 2,4.3,14,sedang,periplus2.png
69,Batik Keris,Retail,Boarding Lounge Terminal 1,4.8,5,mahal,batik.png
70,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya5.png
71,circle K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,circlek3.png
72,Alfa Express,Retail,Boarding Lounge Terminal 1,3.8,40,murah,alfaex4.png
73,Circle K,Retail,Non Terminal 1,3.7,14,murah,circlek4.png
74,Bonbon Voyage,Retail,Central Lobby Terminal 2,4.8,8,sedang,bonbon.png
75,Oldtown White Coffee,Food & Beverage,Central Lobby Terminal 2,3.7,9,sedang,oldtown.png
76,Bakmi Gocit,Food & Beverage,Central Lobby Terminal 2,3.9,149,sedang,bakmi-gocit3.png
77,Bebek Pak Qomar & Rawon,Food & Beverage,Central Lobby Terminal 2,4.2,10,sedang,rawon.png
78,Duty Free,Retail,Boarding Lounge Terminal 2,3.5,6,sedang,duty.png
79,Bonbon Voyage,Retail,Boarding Lounge Terminal 2,4.8,8,sedang,bonbon2.png
80,Polo,Retail,Boarding Lounge Terminal 2,3.1,9,sedang,polo5.png
81,Oldtown White Coffee,Food & Beverage,Boarding Lounge Terminal 2,3.7,9,sedang,oldtown2.png
82,IASH Lounge,Lounge,Boarding Lounge Terminal 2,4.8,157,mahal,iash.png
83,Singosari Lounge,Lounge,Boarding Lounge Terminal 1,4.1,645,mahal,singosari.png
84,Graha Amukti Praja Juanda,Lounge,Departure Lobby Terminal 1,4.8,157,mahal,graha.png
85,Kantin International Juanda,Food & Beverage,Departure Lobby Terminal 1,4.5,30,sedang,kantin.png
86,Trowulan,Lounge,Departure Lobby Terminal 1,4.4,135,mahal,trowulan.png
87,Donut King Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,sedang,donutking2.png
88,Hisana Fried Chicken,Food & Beverage,Central Lobby Terminal 2,4.3,3,sedang,hisana.png
89,Roti O,Food & Beverage,Boarding Lounge Terminal 2,2.9,43,murah,roti-o7.png
90,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 2,3.6,17,sedang,soerabaja-cafe2.png
91,Warung MJ,Food & Beverage,Non Terminal 2,4.1,210,sedang,warungmj.png
92,ANGKRINGAN T2 KOPIKU,Food & Beverage,Non Terminal 2,3.8,4,sedang,angkringan.png
93,Depot Cak Mat,Food & Beverage,Non Terminal 2,4.1,196,sedang,cakmat.png
94,Singgalang,Food & Beverage,Boarding Lounge Terminal 1,4.4,9,sedang,singgalang.png
95,Uncle Wang Singapore Chicken Rice,Food & Beverage,Arrival Lobby Terminal 1,4.2,5,mahal,unclewang.png
96,Ho Yoe,Food & Beverage,Boarding Lounge Terminal 1,4.2,6,sedang,hoyoe.png
97,Bank Mandiri,Services,Baggage Claim B Terminal 1,4.2,53,non_applicable,mandiri.png
98,Bank Jatim,Services,Baggage Claim B Terminal 1,4.7,21,non_applicable,jatim.png
99,Bank BNI,Services,Baggage Claim B Terminal 1,4.1,17,non_applicable,bni.png
100,Bank Mandiri,Services,Baggage Claim A Terminal 1,4.8,120,non_applicable,mandiri2.png
101,Bank BRI,Services,Non Terminal 2,4.0,1,non_applicable,bri.png
102,Damri Bandara Juanda,Services,Arrival Lobby Terminal 1,2.7,79,non_applicable,damri.png
103,Lion Air Flops,Services,Arrival Lobby Terminal 1,3.6,133,non_applicable,lion-air.png
104,Surabaya Patata Bandara Juanda,Services,Arrival Lobby Terminal 2,4.6,225,non_applicable,patata.png
105,Transportasi Travel,Services,Arrival Lobby Terminal 1,4.1,14,non_applicable,travel.png
106,Kantin Juanda t1,Food & Beverage,Non Terminal 1,4.2,939,sedang,kantin2.png
107,Kantin Juanda T2,Food & Beverage,Non Terminal 2,3.9,15,sedang,kantin3.png
108,Baso A Fung Juanda T1,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,mahal,afung2.png
109,KCP Bank Mandiri,Services,Arrival Lobby Terminal 1,4.8,120,non_applicable,mandiri3.png
110,Bank BCA,Services,Boarding Lounge Terminal 1,4.7,10,non_applicable,bca.png
111,KCP Bank Mandiri,Services,Central Lobby Terminal 1,4.7,12,non_applicable,mandiri4.png
112,Bank CIMB Niaga,Services,Central Lobby Terminal 1,4.3,3,non_applicable,cimb.png
113,Bank BSI,Services,Boarding Lounge Terminal 1,5.0,4,non_applicable,bsi.png
114,INDOCEV,Services,Central Lobby Terminal 2,2.2,10,non_applicable,indocev.png
115,Aroma Padang Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.7,19,sedang,aroma.png
116,Gift Shop,Retail,Boarding Lounge Terminal 1,4.5,4,sedang,gift-shop.png
