id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,penjualan,cluster_kmeans,cluster_spectral,cluster_kmeans_label
24,Restaurant Bangkalan,Food & Beverage,Central Lobby Terminal 1,3.5,210,sedang,,1,0,Tenant Populer
25,Dunkin Donut,Food & Beverage,Departure Lobby Terminal 1,4.1,78,sedang,,1,0,Tenant Populer
26,Chez Choux,Food & Beverage,Departure Lobby Terminal 1,4.7,7,sedang,,0,1,Tenant Baru / Review Sedikit
27,Kedai MJ,Food & Beverage,Departure Lobby Terminal 1,2.8,12,sedang,,0,1,Tenant Baru / Review Sedikit
28,Roti O,Food & Beverage,Departure Lobby Terminal 1,3.7,164,murah,,1,0,Tenant Populer
29,Expat,Food & Beverage,Departure Lobby Terminal 1,4.7,65,sedang,,1,0,Tenant Populer
30,A&W,Food & Beverage,Arrival Lobby A Terminal 1,5.0,1,sedang,,0,1,Tenant Baru / Review Sedikit
31,Warkop Sedati,Food & Beverage,Boarding Lounge Terminal 2,4.0,212,sedang,,1,0,Tenant Populer
32,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,,0,1,Tenant Baru / Review Sedikit
33,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,1,0,Tenant Populer
34,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,,1,0,Tenant Populer
35,Starbucks,Food & Beverage,Boarding Lounge Terminal 1,4.5,179,sedang,,1,0,Tenant Populer
36,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,,1,0,Tenant Populer
37,A&W,Food & Beverage,Boarding Lounge Terminal 1,4.2,2820,sedang,,1,0,Tenant Populer
38,Subway,Food & Beverage,Boarding Lounge Terminal 1,4.4,68,sedang,,1,0,Tenant Populer
39,Donatking,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,murah,,0,1,Tenant Baru / Review Sedikit
40,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,,0,1,Tenant Baru / Review Sedikit
41,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,1,0,Tenant Populer
42,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,110,sedang,,1,0,Tenant Populer
43,LA Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,219,sedang,,1,0,Tenant Populer
44,Bebek Goreng Harissa,Food & Beverage,Boarding Lounge Terminal 1,4.0,85,sedang,,1,0,Tenant Populer
45,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,1,0,Tenant Populer
46,A Fung,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,sedang,,0,1,Tenant Baru / Review Sedikit
47,Gloria Jeans Coffee,Food & Beverage,Boarding Lounge Terminal 1,4.0,203,sedang,,1,0,Tenant Populer
48,Kulineri,Food & Beverage,Boarding Lounge Terminal 1,4.2,11,sedang,,0,1,Tenant Baru / Review Sedikit
49,Restaurant Bangkalan,Food & Beverage,Boarding Lounge Terminal 1,3.5,210,mahal,,1,0,Tenant Populer
50,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,,1,0,Tenant Populer
51,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,,1,0,Tenant Populer
52,Majapahit Lounge,Lounge,Boarding Lounge Terminal 1,4.8,93,mahal,,1,0,Tenant Populer
53,Concordia Lounge,Lounge,Boarding Lounge Terminal 1,3.7,232,mahal,,1,0,Tenant Populer
54,Alfa Express,Retail,Central Lobby Terminal 1,3.8,40,murah,,1,0,Tenant Populer
55,Circle-K,Retail,Lobby Arrival B Terminal 1,3.7,14,murah,,0,1,Tenant Baru / Review Sedikit
56,Family Mart,Retail,Lobby Arrival B Terminal 1,4.4,17,murah,,0,1,Tenant Baru / Review Sedikit
57,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,,1,0,Tenant Populer
58,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,,1,0,Tenant Populer
59,Alfa Express,Retail,Departure Lobby Terminal 1,4.5,4,murah,,0,1,Tenant Baru / Review Sedikit
60,Sandang Pangan,Retail,Departure Lobby Terminal 1,5.0,1,sedang,,0,1,Tenant Baru / Review Sedikit
61,Alfa Express,Retail,Lobby Arrival A Terminal 1,4.5,4,murah,,0,1,Tenant Baru / Review Sedikit
62,Circle-K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,,0,1,Tenant Baru / Review Sedikit
63,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,1,0,Tenant Populer
64,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,,0,1,Tenant Baru / Review Sedikit
65,Beauty Center,Retail,Boarding Lounge Terminal 1,5.0,1,sedang,,0,1,Tenant Baru / Review Sedikit
66,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,,0,1,Tenant Baru / Review Sedikit
67,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,1,0,Tenant Populer
68,Periplus,Retail,Boarding Lounge Terminal 2,4.3,14,sedang,,0,1,Tenant Baru / Review Sedikit
69,Batik Keris,Retail,Boarding Lounge Terminal 1,4.8,5,mahal,,0,1,Tenant Baru / Review Sedikit
70,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,1,0,Tenant Populer
71,circle K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,,0,1,Tenant Baru / Review Sedikit
72,Alfa Express,Retail,Boarding Lounge Terminal 1,3.8,40,murah,,1,0,Tenant Populer
73,Circle K,Retail,Non Terminal 1,3.7,14,murah,,0,1,Tenant Baru / Review Sedikit
74,Bonbon Voyage,Retail,Central Lobby Terminal 2,4.8,8,sedang,,0,1,Tenant Baru / Review Sedikit
75,Oldtown White Coffee,Food & Beverage,Central Lobby Terminal 2,3.7,9,sedang,,0,1,Tenant Baru / Review Sedikit
76,Bakmi Gocit,Food & Beverage,Central Lobby Terminal 2,3.9,149,sedang,,1,0,Tenant Populer
77,Bebek Pak Qomar & Rawon,Food & Beverage,Central Lobby Terminal 2,4.2,10,sedang,,0,1,Tenant Baru / Review Sedikit
78,Duty Free,Retail,Boarding Lounge Terminal 2,3.5,6,sedang,,0,1,Tenant Baru / Review Sedikit
79,Bonbon Voyage,Retail,Boarding Lounge Terminal 2,4.8,8,sedang,,0,1,Tenant Baru / Review Sedikit
80,Polo,Retail,Boarding Lounge Terminal 2,3.1,9,sedang,,0,1,Tenant Baru / Review Sedikit
81,Oldtown White Coffee,Food & Beverage,Boarding Lounge Terminal 2,3.7,9,sedang,,0,1,Tenant Baru / Review Sedikit
82,IASH Lounge,Lounge,Boarding Lounge Terminal 2,4.8,157,mahal,,1,0,Tenant Populer
83,Singosari Lounge,Lounge,Boarding Lounge Terminal 1,4.1,645,mahal,,1,0,Tenant Populer
84,Graha Amukti Praja Juanda,Lounge,Departure Lobby Terminal 1,4.8,157,mahal,,1,0,Tenant Populer
85,Kantin International Juanda,Food & Beverage,Departure Lobby Terminal 1,4.5,30,sedang,,0,1,Tenant Baru / Review Sedikit
86,Trowulan,Lounge,Departure Lobby Terminal 1,4.4,135,mahal,,1,0,Tenant Populer
87,Donut King Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,sedang,,0,1,Tenant Baru / Review Sedikit
88,Hisana Fried Chicken,Food & Beverage,Central Lobby Terminal 2,4.3,3,sedang,,0,1,Tenant Baru / Review Sedikit
89,Roti O,Food & Beverage,Boarding Lounge Terminal 2,2.9,43,murah,,1,0,Tenant Populer
90,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 2,3.6,17,sedang,,0,1,Tenant Baru / Review Sedikit
91,Warung MJ,Food & Beverage,Non Terminal 2,4.1,210,sedang,,1,0,Tenant Populer
92,ANGKRINGAN T2 KOPIKU,Food & Beverage,Non Terminal 2,3.8,4,sedang,,0,1,Tenant Baru / Review Sedikit
93,Depot Cak Mat,Food & Beverage,Non Terminal 2,4.1,196,sedang,,1,0,Tenant Populer
94,Singgalang,Food & Beverage,Boarding Lounge Terminal 1,4.4,9,sedang,,0,1,Tenant Baru / Review Sedikit
95,Uncle Wang Singapore Chicken Rice,Food & Beverage,Arrival Lobby Terminal 1,4.2,5,mahal,,0,1,Tenant Baru / Review Sedikit
96,Ho Yoe,Food & Beverage,Boarding Lounge Terminal 1,4.2,6,sedang,,0,1,Tenant Baru / Review Sedikit
97,Bank Mandiri,Services,Baggage Claim B Terminal 1,4.2,53,non_applicable,,1,0,Tenant Populer
98,Bank Jatim,Services,Baggage Claim B Terminal 1,4.7,21,non_applicable,,0,1,Tenant Baru / Review Sedikit
99,Bank BNI,Services,Baggage Claim B Terminal 1,4.1,17,non_applicable,,0,1,Tenant Baru / Review Sedikit
100,Bank Mandiri,Services,Baggage Claim A Terminal 1,4.8,120,non_applicable,,1,0,Tenant Populer
101,Bank BRI,Services,Non Terminal 2,4.0,1,non_applicable,,0,1,Tenant Baru / Review Sedikit
102,Damri Bandara Juanda,Services,Arrival Lobby Terminal 1,2.7,79,non_applicable,,1,0,Tenant Populer
103,Lion Air Flops,Services,Arrival Lobby Terminal 1,3.6,133,non_applicable,,1,0,Tenant Populer
104,Surabaya Patata Bandara Juanda,Services,Arrival Lobby Terminal 2,4.6,225,non_applicable,,1,0,Tenant Populer
105,Transportasi Travel,Services,Arrival Lobby Terminal 1,4.1,14,non_applicable,,0,1,Tenant Baru / Review Sedikit
106,Kantin Juanda t1,Food & Beverage,Non Terminal 1,4.2,939,sedang,,1,0,Tenant Populer
107,Kantin Juanda T2,Food & Beverage,Non Terminal 2,3.9,15,sedang,,0,1,Tenant Baru / Review Sedikit
108,Baso A Fung Juanda T1,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,mahal,,0,1,Tenant Baru / Review Sedikit
109,KCP Bank Mandiri,Services,Arrival Lobby Terminal 1,4.8,120,non_applicable,,1,0,Tenant Populer
110,Bank BCA,Services,Boarding Lounge Terminal 1,4.7,10,non_applicable,,0,1,Tenant Baru / Review Sedikit
111,KCP Bank Mandiri,Services,Central Lobby Terminal 1,4.7,12,non_applicable,,0,1,Tenant Baru / Review Sedikit
112,Bank CIMB Niaga,Services,Central Lobby Terminal 1,4.3,3,non_applicable,,0,1,Tenant Baru / Review Sedikit
113,Bank BSI,Services,Boarding Lounge Terminal 1,5.0,4,non_applicable,,0,1,Tenant Baru / Review Sedikit
114,INDOCEV,Services,Central Lobby Terminal 2,2.2,10,non_applicable,,0,1,Tenant Baru / Review Sedikit
115,Aroma Padang Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.7,19,sedang,,0,1,Tenant Baru / Review Sedikit
116,Gift Shop,Retail,Boarding Lounge Terminal 1,4.5,4,sedang,,0,1,Tenant Baru / Review Sedikit
