id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,penjualan,cluster
47,Gloria Jeans Coffee,Food & Beverage,Boarding Lounge Terminal 1,4.0,203,sedang,,0
48,Kulineri,Food & Beverage,Boarding Lounge Terminal 1,4.2,11,sedang,,1
49,Restaurant Bangkalan,Food & Beverage,Boarding Lounge Terminal 1,3.5,210,mahal,,0
50,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,,0
51,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,,2
52,Majapahit Lounge,Lounge,Boarding Lounge Terminal 1,4.8,93,mahal,,0
53,Concordia Lounge,Lounge,Boarding Lounge Terminal 1,3.7,232,mahal,,0
54,Alfa Express,Retail,Central Lobby Terminal 1,3.8,40,murah,,2
55,Circle-K,Retail,Lobby Arrival B Terminal 1,3.7,14,murah,,2
56,Family Mart,Retail,Lobby Arrival B Terminal 1,4.4,17,murah,,1
57,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,,0
58,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,,0
59,Alfa Express,Retail,Departure Lobby Terminal 1,4.5,4,murah,,1
60,Sandang Pangan,Retail,Departure Lobby Terminal 1,5.0,1,sedang,,1
61,Alfa Express,Retail,Lobby Arrival A Terminal 1,4.5,4,murah,,1
62,Circle-K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,,2
63,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,0
64,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,,2
65,Beauty Center,Retail,Boarding Lounge Terminal 1,5.0,1,sedang,,1
66,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,,2
67,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,0
68,Periplus,Retail,Boarding Lounge Terminal 2,4.3,14,sedang,,1
69,Batik Keris,Retail,Boarding Lounge Terminal 1,4.8,5,mahal,,1
70,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,,0
71,circle K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,,2
72,Alfa Express,Retail,Boarding Lounge Terminal 1,3.8,40,murah,,2
73,Circle K,Retail,Non Terminal 1,3.7,14,murah,,2
74,Bonbon Voyage,Retail,Central Lobby Terminal 2,4.8,8,sedang,,1
75,Oldtown White Coffee,Food & Beverage,Central Lobby Terminal 2,3.7,9,sedang,,2
76,Bakmi Gocit,Food & Beverage,Central Lobby Terminal 2,3.9,149,sedang,,0
77,Bebek Pak Qomar & Rawon,Food & Beverage,Central Lobby Terminal 2,4.2,10,sedang,,1
78,Duty Free,Retail,Boarding Lounge Terminal 2,3.5,6,sedang,,2
79,Bonbon Voyage,Retail,Boarding Lounge Terminal 2,4.8,8,sedang,,1
80,Polo,Retail,Boarding Lounge Terminal 2,3.1,9,sedang,,2
81,Oldtown White Coffee,Food & Beverage,Boarding Lounge Terminal 2,3.7,9,sedang,,2
82,IASH Lounge,Lounge,Boarding Lounge Terminal 2,4.8,157,mahal,,0
83,Singosari Lounge,Lounge,Boarding Lounge Terminal 1,4.1,645,mahal,,0
84,Graha Amukti Praja Juanda,Lounge,Departure Lobby Terminal 1,4.8,157,mahal,,0
85,Kantin International Juanda,Food & Beverage,Departure Lobby Terminal 1,4.5,30,sedang,,1
86,Trowulan,Lounge,Departure Lobby Terminal 1,4.4,135,mahal,,0
87,Donut King Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,sedang,,1
88,Hisana Fried Chicken,Food & Beverage,Central Lobby Terminal 2,4.3,3,sedang,,1
89,Roti O,Food & Beverage,Boarding Lounge Terminal 2,2.9,43,murah,,2
90,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 2,3.6,17,sedang,,2
91,Warung MJ,Food & Beverage,Non Terminal 2,4.1,210,sedang,,0
92,ANGKRINGAN T2 KOPIKU,Food & Beverage,Non Terminal 2,3.8,4,sedang,,2
93,Depot Cak Mat,Food & Beverage,Non Terminal 2,4.1,196,sedang,,0
94,Singgalang,Food & Beverage,Boarding Lounge Terminal 1,4.4,9,sedang,,1
95,Uncle Wang Singapore Chicken Rice,Food & Beverage,Arrival Lobby Terminal 1,4.2,5,mahal,,1
96,Ho Yoe,Food & Beverage,Boarding Lounge Terminal 1,4.2,6,sedang,,1
97,Bank Mandiri,Services,Baggage Claim B Terminal 1,4.2,53,non_applicable,,0
98,Bank Jatim,Services,Baggage Claim B Terminal 1,4.7,21,non_applicable,,1
99,Bank BNI,Services,Baggage Claim B Terminal 1,4.1,17,non_applicable,,1
100,Bank Mandiri,Services,Baggage Claim A Terminal 1,4.8,120,non_applicable,,0
101,Bank BRI,Services,Non Terminal 2,4.0,1,non_applicable,,1
102,Damri Bandara Juanda,Services,Arrival Lobby Terminal 1,2.7,79,non_applicable,,2
103,Lion Air Flops,Services,Arrival Lobby Terminal 1,3.6,133,non_applicable,,0
104,Surabaya Patata Bandara Juanda,Services,Arrival Lobby Terminal 2,4.6,225,non_applicable,,0
105,Transportasi Travel,Services,Arrival Lobby Terminal 1,4.1,14,non_applicable,,1
106,Kantin Juanda t1,Food & Beverage,Non Terminal 1,4.2,939,sedang,,0
107,Kantin Juanda T2,Food & Beverage,Non Terminal 2,3.9,15,sedang,,2
108,Baso A Fung Juanda T1,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,mahal,,2
109,KCP Bank Mandiri,Services,Arrival Lobby Terminal 1,4.8,120,non_applicable,,0
110,Bank BCA,Services,Boarding Lounge Terminal 1,4.7,10,non_applicable,,1
111,KCP Bank Mandiri,Services,Central Lobby Terminal 1,4.7,12,non_applicable,,1
112,Bank CIMB Niaga,Services,Central Lobby Terminal 1,4.3,3,non_applicable,,1
113,Bank BSI,Services,Boarding Lounge Terminal 1,5.0,4,non_applicable,,1
114,INDOCEV,Services,Central Lobby Terminal 2,2.2,10,non_applicable,,2
115,Aroma Padang Juanda,Food & Beverage,Boarding Lounge Terminal 1,4.7,19,sedang,,1
116,Gift Shop,Retail,Boarding Lounge Terminal 1,4.5,4,sedang,,1
